2.427,2.116,2.5,,,,,,,,,,,,,
1.245,1.234,1.41,1.862,1.87,,2.275,,2.917,3.037,3.019,,,,,
1.65,,,,,,,,,,,,,,,
1.828,,,,,,,,,,,,,,,
3.8795,,,,,,,,,,,,,,,
2.332,,3.124,,3.706,3.732,4.133,,,,,,,,,
2.441,2.703,2.955,,,,,,,,,,,,,
0.62,,,,,,,,,,,,,,,
2.445,,3.004,,4.099,4.099,,,5.231,4.919,5.186,,,,,
1.638,,2.197,,,,,,,,,,,,,
1.496,,2.701,1.394,,2.43,,,,,,,,,,
2.404,2.52,2.507,1.835,3.259,,,,,,,,,,,
0.936,,1.402,1.631,,2.01,2.074,,,,2.886,,,,,
,0.97,1,1.4,,,,,,2.189,,,,,,
,2.002,,2.782,2.864,3.112,3.645,,,3.949,3.962,4.474,,,,
,1.329,1.449,1.672,,1.986,,,,,,,,,,
,2.052,,,,2.516,,,,,,,,,,
,1.674,1.883,2.229,2.416,2.482,,,,,,,,,,
,1.818,,,,,,,,,,,,,,
,1.561,1.918,,,,2.373,,,,2.945,,,,,
,1.683,1.909,2.476,2.404,,2.791,,,,,,,,,
,2.757,,,,,,,,,,,,,,
,2.136,2.037,2.893,,2.725,2.915,,,,,3.421,,,,
,2.067,,,,,,,,,,,,,,
,2.041,2.404,,,,,,,,,,,,,
,0.735,,,,,1.431,,1.839,,,,,,,
,2.105,,,,3.084,3.069,,,,,,,,,
,1.852,2.163,,,3.399,,,4.375,,4.774,,,,,
,1.524,1.849,2.18,,,,,,,,,,,,
,0.904,1.043,1.295,,,1.836,,2.402,2.478,2.546,,,,,
,2.779,,,3.996,,,,5.26,,5.383,6.286,5.823,,,
,0.617,,0.909,,,,,1.302,1.541,1.565,,1.676,,,
,1.88,1.894,,2.744,,3.104,,3.409,3.38,3.55,,,,,
,3.407,3.691,,,4.972,5.238,,,,5.748,6.061,,,,
,1.359,1.395,1.554,1.608,1.792,1.811,,2.29,2.35,2.354,,,,,
,,0.825,,,,,,,,1.183,1.38,,,1.413,
,,1.947,2.124,2.36,2.268,,,2.6,,2.75,,3.169,,,
,,1.859,,,,,,,,,,,,,
,,2.308,,,,3.16,,,,,,,,,
,,1.31,,,,2.068,,,,2.213,2.445,,,,
,,2.09,,,2.817,,,,,,,,,,
,,2.461,,,,,,,,,,,,,
,,2.755,,,,,,,,,,,,,
,,2.12,,,,,,,,,,,,,
,,2.763,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,1.087,,,,,,,,2.718,,2.936,,2.956,
,,1.774,1.962,2.27,,2.721,,3.264,3.46,3.801,,4.04,,,
,,,1.465,1.642,1.792,1.784,,,2.536,2.745,,,,,
,,1.666,,,,,,2.773,2.82,,,,,3.222,
,,1.631,,2.112,2.468,2.562,,2.79,,3.283,3.425,3.865,,3.444,
,,2.093,,,,,,,,,,,,,
,,2.296,2.68,,,,,4.488,4.546,4.544,5.049,5.055,,,
,,,2.355,2.45,2.667,2.697,,3.057,3,3.192,,,,,
,,,,1.469,,1.671,,,,,,,,,
,,,3.158,,2.514,,,,3.315,,,,,3.815,
,,,2.286,2.546,,,,,,,,,,,
,,,2.022,,,,,,,,,,,,
,,,2.335,2.29,2.524,,,,,,,,,,
,,,2.6,,2.591,,,,,,,,,,
,,,1.509,,,,,,,,,,,,
,,,1.93,,,,,,,,,,,,
,,,1.01,,1.188,1.456,,1.715,,1.74,,,,,
,,,2.47,,,,,,,,,,,,
,,,2.152,,,2.92,,,,3.801,,,,,
,,,1.108,,,,,2.013,2.194,2.177,,,,,
,,,1.522,,1.775,1.849,,,2.275,,,,,,
,,,2.089,2.167,2.119,,,,2.812,3.299,,,,,
,,,1.028,1.079,,,,,1.679,,,,,,
,,,,,,,,,,,,,,,
,,,,1.427,,1.59,,,,1.99,,,,,
,,,,1.506,1.545,,,,,,,,,,
,,,,1.651,,2.238,,,2.847,,,,,,
,,,,1.746,,2.231,,,,,,,,,
,,,,1.492,1.594,1.702,,2.195,2.114,2.248,2.362,,,,
,,,,1.74,1.69,1.994,,,,,,,,,
,,,,2.04,2.218,2.542,,3.153,2.96,,,,,,
,,,,1.204,1.173,,,1.763,,1.922,1.972,,,,
,,,,2.018,,2.454,,,3.062,,3.571,,,,
,,,,2.208,,2.775,,,,3.509,,,,,
,,,,1.212,,1.45,,1.911,,2.08,,,,,
,,,,0.446,,,,,,,,,,,
,,,,,1.744,,,,,,,,,,
,,,,,1.573,,,,,2.271,,,,,
,,,,,1.42,,,,,,,,,,
,,,,,1.661,1.839,,,2.197,2.086,,,,,
,,,,,2.23,,,,,,,,,,
,,,,,1.771,2.365,,2.563,2.897,2.88,,,,,
,,,,,2.772,,,,,,,,,,
,,,,,3.683,4.08,,,,,,,,,
,,,,,2.443,2.861,,,3.5,,,,,,
,,,,,4.691,5.205,,5.348,6.002,6.411,,,,,
,,,,,2.06,2.52,,2.915,2.937,3.091,,2.859,,3.179,
,,,,,,1.691,,2.096,,2.384,,,,,
,,,,,,1.497,,1.7,,,,,,,
,,,,,,1.5,,1.712,,1.962,,,,,
,,,,,,1.641,,,,,,,,,
,,,,,,3,,,,,,,,,
,,,,,,4.547,,,5.305,5.364,,,,,
,,,,,,4.682,,4.959,4.926,,,,,,
,,,,,,2.491,,2.715,,,3.432,3.375,,,
,,,,,,1.551,,,,1.964,,,,,
,,,,,,1.257,,,,,,,,,
,,,,,,1.458,,,,,2.053,,,,
,,,,,,,,3.339,3.537,,,,,,
,,,,,,,,0.99,,,,,,,
,,,,,,,,3.991,4.024,4.034,,,,4.028,
,,,,,,,,1.08,1.075,,,,,,
,,,,,,,,,0.979,,,,,1.172,
,,,,,,,,,2.374,,,,,,
,,,,,,,,,3.17,,,,,,
,,,,,,,,,,2.017,2,,,,
,,,,,,,,,,2.44,,,,,
,,,,,,,,,,1.758,,,,,
,,,,,,,,,,2.03,,,,1.967,
,,,,,,,,,,,,2.465,,,NA
