temp_survey,rh_survey,pressure_survey,temp_meanmin,temp_mean_int,rain_interval
18.7,89.8,932.95,18.4,20.4,118
17.1,100,929.56,16.7,18.1,14
18.5,95,932.27,16.9,19.1,12
14.2,92.2,938.37,16,16.8,46
15.4,88.5,941.08,13.2,14.6,11
15.9,95.9,939.72,13.6,16.4,2
17.3,95.1,934.64,14.1,16.1,6
15.4,,,13.5,15.4,6
14.6,90.6,936.34,11.7,13.9,6
14.2,90.2,938.03,10.8,13.6,3
16.3,91.3,929.9,11.7,14.2,6
12.9,94.6,941.08,8.2,10.7,7
11.6,91.6,941.08,9.2,11.6,4
11.6,,,10.6,12,15
11.4,,937.35,6,7.9,7
6,86.2,939.72,9,10.1,3
