"","mean","sd","95%_HPDL","95%_HPDU","Rhat","n.eff","median"
"pi_alpha",0.426,0.148,0.127,0.698,1.07,508,0.425
"pi_beta[1]",0.036,0.453,-0.97,1.169,1,13957,0
"pi_beta[2]",0.355,0.54,-0.233,1.631,1.01,4216,0
"pi_beta[3]",0.062,0.495,-1.029,1.252,1.01,11318,0
"phi_alpha",0.172,0.048,0.074,0.265,1.01,1428,0.173
"phi_beta[1]",0.191,0.352,-0.193,1.091,1,5420,0
"phi_beta[2]",-0.03,0.199,-0.551,0.387,1.02,11732,0
"phi_beta[3]",-0.039,0.472,-1.026,1.043,1.08,4787,0
"phi_beta[4]",-0.032,0.487,-1.155,1.008,1.01,4324,0
"phi_beta[5]",-0.475,0.941,-2.758,0.817,1.08,471,0
"phi_beta[6]",-0.138,0.542,-1.568,0.84,1.01,5992,0
"psi12_alpha",0.168,0.122,0.013,0.382,1.02,1228,0.14
"psi12_beta[1]",0.422,0.766,-0.643,2.282,1,3875,0
"psi12_beta[2]",-0.192,0.594,-1.697,0.857,1,9005,0
"psi12_beta[3]",0.119,0.721,-1.343,1.873,1,9871,0
"psi12_beta[4]",0.013,0.976,-2.045,2.166,1,19336,0
"psi21_alpha",0.436,0.322,0.029,0.986,1.01,1333,0.365
"psi21_beta[1]",-1.143,1.038,-3.268,0.248,1.01,3101,-1.083
"psi21_beta[2]",0.093,0.465,-0.762,1.276,1,10465,0
"psi21_beta[3]",-0.197,0.669,-1.911,0.984,1,8523,0
"psi21_beta[4]",-0.4,0.873,-2.388,0.8,1.01,728,0
"p_alpha",0.368,0.066,0.234,0.492,1.01,1366,0.371
"p_beta[1]",0.074,0.211,-0.174,0.701,1,5492,0
"p_beta[2]",0.048,0.202,-0.258,0.674,1,10203,0
"p_beta[3]",2.453,0.573,1.396,3.598,1,3172,2.438
"p_beta[4]",-0.001,0.169,-0.456,0.374,1,15597,0
"p_beta[5]",-0.541,0.44,-1.321,0,1,3452,-0.573
"p_beta[6]",0.673,0.599,0,1.835,1,1698,0.686
"p_beta[7]",0.21,0.551,-0.742,1.599,1.01,1175,0
"p_sigma[1]",0.193,0.154,0,0.484,1,6871,0.161
"p_sigma[2]",0.667,0.292,0.006,1.159,1,1332,0.664
"r_delta",0.264,0.072,0.146,0.413,1.07,807,0.251
"delta21",0.028,0.037,0,0.105,1.17,167,0.004
"r_lambda",0.549,0.049,0.453,0.644,1,8453,0.55
"lambda21",0.023,0.008,0.009,0.039,1,8543,0.022
"mu_alpha",2.79,0.15,2.482,3.077,1.06,258,2.795
"mu_beta[1]",-0.109,0.213,-0.675,0.049,1.12,119,0
"mu_beta[2]",-0.022,0.078,-0.289,0.026,1.02,927,0
"mu_beta[3]",-0.063,0.189,-0.591,0.188,1.09,206,0
"mu_sigma[1]",0.402,0.174,0.061,0.694,1.02,79,0.414
"mu_sigma[2]",0.366,0.158,0.019,0.642,1.01,452,0.369
"mu_sigma[3]",0.504,0.038,0.435,0.583,1,9674,0.502
"mu_sigma[4]",0.589,0.187,0.229,0.97,1.11,183,0.602
"p_mean[1, 1]",0.769,0.066,0.632,0.885,1,2950,0.777
"p_mean[2, 1]",0.341,0.074,0.199,0.491,1,2171,0.338
"p_mean[1, 2]",0.364,0.079,0.213,0.518,1,2695,0.363
"p_mean[2, 2]",0.452,0.079,0.298,0.607,1,2582,0.453
"p_mean[1, 3]",0.64,0.073,0.492,0.772,1.01,2230,0.646
"p_mean[2, 3]",0.458,0.168,0.119,0.803,1,7882,0.453
"p_mean[1, 4]",0.393,0.072,0.248,0.531,1.01,1660,0.395
"p_mean[2, 4]",0.35,0.071,0.209,0.488,1,1835,0.349
"p_mean[1, 5]",0.659,0.09,0.476,0.82,1,1764,0.667
"p_mean[2, 5]",0.188,0.05,0.088,0.282,1,1993,0.186
"p_mean[1, 6]",0.131,0.042,0.052,0.213,1,2107,0.127
"p_mean[2, 6]",0.192,0.139,0.014,0.488,1,5702,0.154
"p_mean[1, 7]",0.156,0.057,0.052,0.27,1,1937,0.15
"p_mean[2, 7]",0.023,0.017,0.001,0.056,1,3059,0.018
"prev[1]",0.433,0.151,0.114,0.686,1.09,359,0.429
"prev[2]",0.404,0.128,0.136,0.627,1.1,333,0.413
"prev[3]",0.352,0.109,0.135,0.554,1.08,397,0.354
"prev[4]",0.305,0.099,0.111,0.487,1.08,519,0.301
"prev[5]",0.32,0.093,0.13,0.486,1.08,467,0.319
"prev[6]",0.274,0.097,0.098,0.46,1.05,784,0.267
"prev[7]",0.332,0.105,0.136,0.533,1.05,1014,0.322
"prev[8]",0.347,0.122,0.13,0.591,1.03,1599,0.333
"prev_mu",0.346,0.097,0.141,0.516,1.1,437,0.347
